Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
1,2009,Avatar,2923706026,785221649,2138484377
2,2019,Avengers: Endgame,2794731755,858373000,1936358755
3,2022,Avatar: The Way of Water,2318552513,683875614,1634676899
4,2018,Avengers: Infinity War,2048359754,678815482,1369544272
5,2021,Spider-Man: No Way Home,1910048245,814115070,1095933175
6,2015,Jurassic World,1669963641,652306625,1017657016
7,2012,The Avengers,1515100211,623357910,891742301
8,2015,Furious 7,1514553486,353007020,1161546466
9,2022,Top Gun: Maverick,1481369482,718732821,762636661
10,2015,Avengers: Age of Ultron,1395316979,459005868,936311111
11,2018,Black Panther,1336494320,700059566,636434754
12,2018,Jurassic World: Fallen Kingdom,1308323302,417719760,890603542
13,2017,The Fate of the Furious,1236703796,225764765,1010939031
14,2013,Iron Man 3,1215392272,408992272,806400000
15,2016,Captain America: Civil War,1151899586,408084349,743815237
16,2018,Aquaman,1143758700,335061807,808696893
17,2019,Spider-Man: Far From Home,1132107522,390532085,741575437
18,2019,Captain Marvel,1129576094,426829839,702746255
19,2011,Transformers: Dark of the Moon,1123794079,352390543,771403536
20,2012,Skyfall,1110526981,304360277,806166704
21,2014,Transformers: Age of Extinction,1104054072,245439076,858614996
22,2012,The Dark Knight Rises,1082228107,448139099,634089008
23,2008,The Dark Knight,1006234167,534987076,471247091
24,2022,Jurassic World: Dominion,1003775632,376851080,626924552
25,2022,Doctor Strange in the Multiverse of Madness,952224986,411331607,540893379
26,2023,The Super Mario Bros. Movie,912996157,450015825,462980332
27,2021,Chang jin hu,909596236,333214,909263022
28,2015,Spectre,879077344,200074175,679003169
29,2017,Spider-Man: Homecoming,878271291,334201140,544070151
30,2016,Batman v Superman: Dawn of Justice,872395091,330360194,542034897
31,2017,Guardians of the Galaxy Vol 2,869087963,389813101,479274862
32,2018,Venom,856081053,213511408,642569645
33,2022,Black Panther: Wakanda Forever,854041058,453829060,400211998
34,2017,Thor: Ragnarok,850482778,315058289,535424489
35,2009,Transformers: Revenge of the Fallen,836519699,402111870,434407829
36,2017,Zhan Lang 2,835474171,2721100,832753071
37,2017,Wonder Woman,817691766,412563408,405128358
38,2013,Fast and Furious 6,789300444,238679850,550620594
39,2018,Mission: Impossible—Fallout,787176729,220159104,567017625
40,2018,Deadpool 2,786362370,324591735,461770635
41,2016,Deadpool,781947691,363070709,418876982
42,2014,Guardians of the Galaxy,770882395,333714112,437168283
43,2022,The Batman,766039263,369345583,396693680
44,2022,Thor: Love and Thunder,760928081,343256830,417671251
45,2019,Fast & Furious Presents: Hobbs & Shaw,760732926,173956935,586775991
46,2021,No Time to Die,759959662,160891007,599068655
47,2009,2012,757677748,166112167,591565581
48,2014,X-Men: Days of Future Past,747862775,233921534,513941241
49,2016,Suicide Squad,745744980,325100054,420644926
50,2003,The Matrix Reloaded,738576929,281553689,457023240
51,2021,F9: The Fast Saga,720752238,173005945,547746293
